w-2	w-1	w	log2prob	suprisal	entropy	word_lp
zelf	de	pokken	-21.1898	21.1898	9.29285	2.39E+06
_	_	Laatst	-13.9732	13.9732	8.87044	16082.3
_	Laatst	kreeg	-5.82655	5.82655	5.73197	56.75
Laatst	kreeg	de	-4.48102	4.48102	0.811278	22.3316
kreeg	de	gevreesde	-18.1137	18.1137	7.37831	283644
de	gevreesde	psychiater	-16.9987	16.9987	5.79431	130952
gevreesde	psychiater	die	-4.8501	4.8501	6.59929	28.8421
psychiater	die	de	-4.24793	4.24793	4.0374	19
die	de	verslaafde	-18.8488	18.8488	11.2996	472118
de	verslaafde	behandelde	-17.5969	17.5969	4.45388	198237
verslaafde	behandelde	zijn	-7.49985	7.49985	5.76511	181
behandelde	zijn	ontslag	-15.452	15.452	1	44823.2
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	overtreder	-18.3917	18.3917	12.4321	343916
De	overtreder	die	-7.08274	7.08274	0	135.556
overtreder	die	de	-4.42801	4.42801	9.98323	21.526
die	de	smeris	-20.0093	20.0093	11.2996	1.06E+06
de	smeris	ontvlucht	-19.6538	19.6538	2.21193	824849
smeris	ontvlucht	was	-4.12102	4.12102	4.42826	17.4
ontvlucht	was	is	-6.31192	6.31192	1.92193	79.4472
was	is	een	-5.03562	5.03562	5.61766	32.8
is	een	kronkelig	-22.0967	22.0967	11.4039	4.49E+06
een	kronkelig	paadje	-2.32193	2.32193	2.32193	5
kronkelig	paadje	ingerend	-26.0967	26.0967	0	7.18E+07
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	eigenaars	-13.8067	13.8067	12.4321	14329.8
De	eigenaars	van	-1.41504	1.41504	3.31291	2.66667
eigenaars	van	het	-4.66297	4.66297	4.56802	25.3333
van	het	landgoed	-11.5746	11.5746	11.7944	3050.1
het	landgoed	die	-7.08274	7.08274	6.22189	135.556
landgoed	die	honderden	-13.3701	13.3701	9.98323	10587.8
die	honderden	bezoekers	-14.0259	14.0259	4.78876	16681
honderden	bezoekers	rondleiden	-22.0967	22.0967	3.12193	4.49E+06
bezoekers	rondleiden	zijn	-6.94949	6.94949	2.8994	123.596
rondleiden	zijn	trots	-12.5773	12.5773	9.84065	6111.62
_	_	Gisteren	-11.1045	11.1045	8.87044	2201.86
_	Gisteren	had	-5.69523	5.69523	6.08955	51.8125
Gisteren	had	de	-4.48102	4.48102	1.20131	22.3316
had	de	brede	-11.4848	11.4848	9.5613	2866
de	brede	bodyguard	-19.947	19.947	6.77927	1.01E+06
brede	bodyguard	die	-7.08274	7.08274	2.9956	135.556
bodyguard	die	de	-4.42801	4.42801	9.98323	21.526
die	de	filmster	-14.586	14.586	11.2996	24593
de	filmster	beschermde	-17.0995	17.0995	2.32193	140434
filmster	beschermde	een	-8.99718	8.99718	6.74535	511
beschermde	een	vrije	-13.447	13.447	0	11167.4
een	vrije	dag	-3.53149	3.53149	5.65242	11.5634
_	_	Morgen	-11.5927	11.5927	8.87044	3088.56
_	Morgen	krijgt	-10.207	10.207	6.20705	1182
Morgen	krijgt	de	-4.48102	4.48102	0	22.3316
krijgt	de	ober	-18.7658	18.7658	8.46679	445726
de	ober	die	-3.8679	3.8679	5.35429	14.6
ober	die	de	-4.48102	4.48102	3.27761	22.3316
die	de	beroemde	-10.8855	10.8855	11.2996	1891.77
de	beroemde	president	-13.8076	13.8076	8.06352	14338
beroemde	president	beledigde	-20.7748	20.7748	6.26809	1.79E+06
president	beledigde	zijn	-6.94949	6.94949	4.47193	123.596
beledigde	zijn	ontslag	-11.8618	11.8618	9.84065	3721.82
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	arts	-10.9405	10.9405	12.4321	1965.23
De	arts	die	-5.5157	5.5157	5.63842	45.75
arts	die	de	-2.85798	2.85798	5.03371	7.25
die	de	vieze	-14.586	14.586	11.2996	24593
de	vieze	bandage	-24.0967	24.0967	5.1066	1.79E+07
vieze	bandage	verschoonde	-24.5118	24.5118	2	2.39E+07
bandage	verschoonde	trok	-14.8518	14.8518	1.58496	29568.1
verschoonde	trok	eerst	-10.245	10.245	6.45313	1213.5
trok	eerst	plastic	-15.5624	15.5624	1	48389.7
eerst	plastic	handschoenen	-8.94934	8.94934	7.76889	494.333
plastic	handschoenen	aan	-7.55838	7.55838	1.58496	188.495
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	sportarts	-18.3917	18.3917	12.4321	343916
De	sportarts	die	-7.08274	7.08274	0	135.556
sportarts	die	de	-4.48102	4.48102	0	22.3316
die	de	hockeyer	-20.7392	20.7392	11.2996	1.75E+06
de	hockeyer	met	-7.00146	7.00146	1	128.129
hockeyer	met	de	-4.48102	4.48102	0	22.3316
met	de	gescheurde	-19.8873	19.8873	12.2058	969755
de	gescheurde	pezen	-19.9268	19.9268	2	996693
gescheurde	pezen	adviseert	-16.544	16.544	1	95555.1
pezen	adviseert	heeft	-8.20096	8.20096	5.8236	294.262
adviseert	heeft	er	-6.31642	6.31642	8.33438	79.6951
heeft	er	veel	-5.82443	5.82443	6.51319	56.6667
er	veel	verstand	-11.6939	11.6939	8.19992	3313
veel	verstand	van	-0.383329	0.383329	1.37216	1.30435
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	oma	-15.5843	15.5843	12.4321	49130.9
De	oma	met	-7.00146	7.00146	2.80735	128.129
oma	met	het	-5.04439	5.04439	2.38338	33
met	het	gebroken	-15.1	15.1	11.0143	35120
het	gebroken	bekken	-18.5118	18.5118	2.0879	373760
gebroken	bekken	die	-7.58496	7.58496	5.44977	192
bekken	die	de	0	0	0	1
die	de	verpleegster	-18.7217	18.7217	11.2996	432300
de	verpleegster	raadpleegde	-21.5732	21.5732	4.18523	3.12E+06
verpleegster	raadpleegde	moest	-11.8328	11.8328	3.88205	3647.73
raadpleegde	moest	huilen	-10.5635	10.5635	7.79598	1513.31
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	alcoholist	-17.3917	17.3917	12.4321	171958
De	alcoholist	die	-7.08274	7.08274	1	135.556
alcoholist	die	de	-4.48102	4.48102	2.32193	22.3316
die	de	bekende	-13.4085	13.4085	11.2996	10873
de	bekende	psycholoog	-9.38802	9.38802	9.03465	670
bekende	psycholoog	behandelde	-17.5969	17.5969	1.58496	198237
psycholoog	behandelde	heeft	-8.20096	8.20096	5.76511	294.262
behandelde	heeft	weer	-8.95029	8.95029	8.33438	494.659
heeft	weer	een	-1.91202	1.91202	4.45411	3.76336
weer	een	terugval	-11.0422	11.0422	9.44766	2108.75
_	_	Maandag	-12.605	12.605	8.87044	6229.82
_	Maandag	heeft	-7.60979	7.60979	6.46474	195.333
Maandag	heeft	de	-4.48102	4.48102	1.92193	22.3316
heeft	de	scholier	-17.6291	17.6291	9.93112	202717
de	scholier	die	-7.08274	7.08274	3	135.556
scholier	die	de	-4.48102	4.48102	2.32193	22.3316
die	de	meester	-15.6746	15.6746	11.2996	52304.6
de	meester	treitert	-22.9268	22.9268	5.61243	7.97E+06
meester	treitert	alweer	-14.1894	14.1894	2.6416	18683.1
treitert	alweer	punaises	-22.6373	22.6373	7.29365	6.52E+06
alweer	punaises	op		0		
punaises	op	de	0	0	0	1
op	de	stoel	-9.49311	9.49311	11.4403	720.63
de	stoel	gelegd	-14.2415	14.2415	5.25184	19368.9
_	_	Jochem	-14.8455	14.8455	8.87044	29440.9
_	Jochem	die	-7.08274	7.08274	2.10657	135.556
Jochem	die	altijd	-9.79722	9.79722	9.98323	889.729
die	altijd	te	-6.63178	6.63178	7.08406	99.1667
altijd	te	hoog	-7.64386	7.64386	6.39777	200
te	hoog	springt	-16.6579	16.6579	5.68602	103403
hoog	springt	tijdens	-11.1627	11.1627	0	2292.49
springt	tijdens	basketbal	-19.4674	19.4674	0	724867
tijdens	basketbal	heeft	-8.20096	8.20096	3.75373	294.262
basketbal	heeft	zijn	-6.34115	6.34115	8.33438	81.0728
heeft	zijn	enkel	-13.2815	13.2815	7.77842	9957.25
zijn	enkel	bezeerd	-23.5118	23.5118	5.19679	1.20E+07
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	politieman	-14.9323	14.9323	12.4321	31265.1
De	politieman	die	-2.80735	2.80735	3.37878	7
politieman	die	de	-4.16993	4.16993	3.90576	18
die	de	agressieve	-14.586	14.586	11.2996	24593
de	agressieve	kraker	-20.2387	20.2387	5.47685	1.24E+06
agressieve	kraker	arresteert	-18.897	18.897	5.12299	488176
kraker	arresteert	gaat	-9.67384	9.67384	2.19608	816.803
arresteert	gaat	hardhandig	-18.748	18.748	7.47885	440257
gaat	hardhandig	te	-6.34873	6.34873	5.44378	81.5
hardhandig	te	werk	-11.2178	11.2178	1	2381.66
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	staker	-23.7748	23.7748	12.4321	1.44E+07
De	staker	die	0	0	0	1
staker	die	de	-4.48102	4.48102	0	22.3316
die	de	angstige	-14.586	14.586	11.2996	24593
de	angstige	dames	-14.4664	14.4664	3.82193	22637.8
angstige	dames	bekogelt	-24.0967	24.0967	6.74362	1.79E+07
dames	bekogelt	gaat	-9.67384	9.67384	2	816.803
bekogelt	gaat	te	-9.23303	9.23303	7.47885	601.753
gaat	te	ver	-0.697971	0.697971	2.66064	1.62222
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	journalist	-11.6368	11.6368	12.4321	3184.41
De	journalist	die	-7.08274	7.08274	2.59852	135.556
journalist	die	de	-3.80735	3.80735	5.00165	14
die	de	beroemde	-10.8855	10.8855	11.2996	1891.77
de	beroemde	bondscoach	-17.5537	17.5537	8.06352	192391
beroemde	bondscoach	interviewt	-19.3418	19.3418	5.56958	664462
bondscoach	interviewt	wil	-10.0668	10.0668	3.87719	1072.51
interviewt	wil	veel	-11.9424	11.9424	7.98216	3935.82
wil	veel	weten	-11.0873	11.0873	4.08746	2175.79
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	zuster	-14.5843	14.5843	12.4321	24565.4
De	zuster	die	-7.08274	7.08274	3.98418	135.556
zuster	die	de	-4.32193	4.32193	4.02193	20
die	de	aan	-13.586	13.586	11.2996	12296.5
de	aan	tuberculose	-19.5889	19.5889	4.68396	788592
aan	tuberculose	lijdende	-18.3154	18.3154	2.85539	326190
tuberculose	lijdende	bejaarde	-17.2829	17.2829	4.39346	159471
lijdende	bejaarde	wast	-18.7569	18.7569	5.83358	442974
bejaarde	wast	is	-7.33985	7.33985	5.21604	162
wast	is	zorgzaam	-20.1898	20.1898	0	1.20E+06
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	goochelaar	-17.3917	17.3917	12.4321	171958
De	goochelaar	die	-7.08274	7.08274	1	135.556
goochelaar	die	de	-4.48102	4.48102	2.32193	22.3316
die	de	vrijwilliger	-16.9343	16.9343	11.2996	125239
de	vrijwilliger	uit	-8.44226	8.44226	4.33321	347.835
vrijwilliger	uit	het	-5.47942	5.47942	0	44.6138
uit	het	enthousiaste	-16.5989	16.5989	9.41643	99255.7
het	enthousiaste	publiek	-1.73697	1.73697	3.44644	3.33333
enthousiaste	publiek	instrueert	-21.7044	21.7044	2.23593	3.42E+06
publiek	instrueert	is	-6.31192	6.31192	3.82089	79.4472
instrueert	is	onduidelijk	-11.3968	11.3968	7.96317	2696.29
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	geduldige	-20.8113	20.8113	12.4321	1.84E+06
De	geduldige	dominee	-16.3808	16.3808	4.83643	85329.2
geduldige	dominee	die	-4.80907	4.80907	6.74733	28.0333
dominee	die	de	-3.90689	3.90689	3.06346	15
die	de	baby	-13.001	13.001	11.2996	8197.67
de	baby	doopt	-20.9268	20.9268	6.55315	1.99E+06
baby	doopt	begint	-12.6015	12.6015	3.92906	6214.76
doopt	begint	te	-3.34421	3.34421	6.15265	10.1557
begint	te	spreken	-7.15102	7.15102	7.53788	142.125
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	voorganger	-13.6913	13.6913	12.4321	13227.5
De	voorganger	die	-7.08274	7.08274	2.70663	135.556
voorganger	die	het	-5.47942	5.47942	3	44.6138
die	het	snoezige	-23.7748	23.7748	10.0295	1.44E+07
het	snoezige	kleintje	-18.748	18.748	2.32193	440257
snoezige	kleintje	doopt	-20.9268	20.9268	5.79038	1.99E+06
kleintje	doopt	houdt	-12.5534	12.5534	3.92906	6011.21
doopt	houdt	haar	-7.95831	7.95831	6.42181	248.708
houdt	haar	stevig	-15.2171	15.2171	5.17851	38090.2
haar	stevig	vast	-12.2446	12.2446	1.52193	4852.71
_	_	Dat	-5.09283	5.09283	8.87044	34.1268
_	Dat	meisje	-12.8	12.8	6.74282	7131.6
Dat	meisje	die	-7.08274	7.08274	3.10188	135.556
meisje	die	de	-4.12338	4.12338	2.50505	17.4286
die	de	boterham	-18.0688	18.0688	11.2996	274950
de	boterham	zonder	-10.9819	10.9819	3.5	2022.43
boterham	zonder	pindakaas	-18.8873	18.8873	9.33701	484877
zonder	pindakaas	wil	-10.0668	10.0668	4.5067	1072.51
pindakaas	wil	is	-8.19702	8.19702	7.98216	293.461
wil	is	verwend	-17.9726	17.9726	5.33157	257211
_	_	Robert	-13.1167	13.1167	8.87044	8882.43
_	Robert	die	-7.08274	7.08274	5.47882	135.556
Robert	die	de	-4.48102	4.48102	2.32193	22.3316
die	de	schone	-15.9419	15.9419	11.2996	62949
de	schone	dochter	-13.5614	13.5614	5.08609	12089.3
schone	dochter	van	-5.27407	5.27407	1	38.6949
dochter	van	Jan	-7.32693	7.32693	6.10736	160.556
van	Jan	ten	-11.1895	11.1895	7.01349	2335.54
Jan	ten	huwelijk	-14.0785	14.0785	2.40564	17300.4
ten	huwelijk	vroeg	-5.64386	5.64386	3.27569	50
huwelijk	vroeg	slikte	-20.2894	20.2894	0.918296	1.28E+06
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	detective	-16.8067	16.8067	12.4321	114639
De	detective	die	-7.08274	7.08274	1.58496	135.556
detective	die	criminelen	-15.682	15.682	2.80735	52572.8
die	criminelen	opspoort	-22.1898	22.1898	3.15991	4.78E+06
criminelen	opspoort	krijgt	-11.8024	11.8024	2.02258	3571.66
opspoort	krijgt	een	-3.28723	3.28723	6.81888	9.76239
krijgt	een	vette	-11.007	11.007	7.87078	2058
een	vette	beloning	-15.7184	15.7184	5.89909	53915.8
vette	beloning	van	-3.02957	3.02957	5.63452	8.16564
beloning	van	de	-2.49075	2.49075	3.96707	5.62069
van	de	staat	-9.56998	9.56998	13.0134	760.065
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	speurhond	-18.3917	18.3917	12.4321	343916
De	speurhond	die	-7.08274	7.08274	0	135.556
speurhond	die	de	-4.48102	4.48102	0	22.3316
die	de	illegale	-12.586	12.586	11.2996	6148.25
de	illegale	drugs	-15.3696	15.3696	4.8969	42337.4
illegale	drugs	opspoort	-22.1898	22.1898	3.16993	4.78E+06
drugs	opspoort	krijgt	-11.8024	11.8024	2.02258	3571.66
opspoort	krijgt	een	-3.28723	3.28723	6.81888	9.76239
krijgt	een	koekje	-18.9069	18.9069	7.87078	491520
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	gedetineerde	-18.3917	18.3917	12.4321	343916
De	gedetineerde	die	-7.08274	7.08274	0	135.556
gedetineerde	die	de	-4.48102	4.48102	0.725551	22.3316
die	de	trage	-17.6455	17.6455	11.2996	205034
de	trage	bewaker	-18.0199	18.0199	4.77052	265785
trage	bewaker	afschudt		0		
bewaker	afschudt	krijgt	-11.8024	11.8024	0.918296	3571.66
afschudt	krijgt	hulp	-10.7093	10.7093	6.81888	1674.25
krijgt	hulp	van	-1	1	1.95915	2
hulp	van	zijn	-5.69647	5.69647	5.75438	51.8571
van	zijn	handlanger	-19.9069	19.9069	10.2059	983039
_	_	Vandaag	-10.0049	10.0049	8.87044	1027.49
_	Vandaag	is	-3.35603	3.35603	6.91123	10.2392
Vandaag	is	de	-2.80735	2.80735	3.98685	7
is	de	laatste	-6.48577	6.48577	11.2545	89.6216
de	laatste	kandidaat	-15.4802	15.4802	8.00232	45708.2
laatste	kandidaat	die	-5.259	5.259	5.90734	38.2927
kandidaat	die	de	-4.35755	4.35755	3.1451	20.5
die	de	examinator	-20.166	20.166	11.2996	1.18E+06
de	examinator	overtuigt	-18.5889	18.5889	3.75	394296
examinator	overtuigt	erg	-11.3067	11.3067	5.08109	2533.16
overtuigt	erg	imponerend	-20.8873	20.8873	8.66644	1.94E+06
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	spits	-12.2419	12.2419	12.4321	4843.89
De	spits	die	-7.08274	7.08274	4.49809	135.556
spits	die	de	-4.75489	4.75489	4.60674	27
die	de	trainer	-15.5099	15.5099	11.2996	46659.2
de	trainer	opstelde	-20.2638	20.2638	5.6926	1.26E+06
trainer	opstelde	had	-9.86669	9.86669	3.85645	933.621
opstelde	had	een	-4.63476	4.63476	8.18359	24.8429
had	een	cruciale	-16.2877	16.2877	9.32458	80002.1
een	cruciale	training	-14.9784	14.9784	2.00366	32281.5
cruciale	training	gemist	-15.8488	15.8488	6.78529	59014.7
_	_	Niemand	-10.855	10.855	8.87044	1852.2
_	Niemand	wist	-6.62352	6.62352	6.0003	98.6
Niemand	wist	dat	-2.9386	2.9386	3.5014	7.66667
wist	dat	een	-7.24	7.24	5.07648	151.167
dat	een	gevaarlijke	-11.3079	11.3079	10.7743	2535.14
een	gevaarlijke	tornado	-20.5118	20.5118	6.05663	1.50E+06
gevaarlijke	tornado	ontstond	-15.1002	15.1002	4.61816	35125.7
tornado	ontstond	die	-7.99647	7.99647	5.25172	255.375
ontstond	die	veel	-9.45114	9.45114	2.75	699.966
die	veel	slachtoffers	-10.1561	10.1561	7.88735	1141
veel	slachtoffers	zou	-5.78136	5.78136	4.7952	55
slachtoffers	zou	eisen	-13.7331	13.7331	2.32193	13617.1
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	employee	-21.8488	21.8488	12.4321	3.78E+06
De	employee	die	-7.08274	7.08274	4.0374	135.556
employee	die	de	-4.42801	4.42801	9.98323	21.526
die	de	ontsnapte	-18.4457	18.4457	11.2996	357024
de	ontsnapte	dieven	-17.9572	17.9572	2.9477	254475
ontsnapte	dieven	beschrijft	-15.1252	15.1252	5.25394	35738
dieven	beschrijft	is	-5.92715	5.92715	6.04474	60.8485
beschrijft	is	erg	-5.04439	5.04439	4.42729	33
is	erg	nauwkeurig	-9.69436	9.69436	7.31402	828.5
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	wrede	-16.8067	16.8067	12.4321	114639
De	wrede	president	-13.8076	13.8076	1.58496	14338
wrede	president	die	-7.00375	7.00375	6.26809	128.333
president	die	de	-2.96347	2.96347	4.60939	7.8
die	de	onderdaan	-14.586	14.586	11.2996	24593
de	onderdaan	beveelt	-18.5498	18.5498	2.40564	383753
onderdaan	beveelt	is	-6.31192	6.31192	5.22575	79.4472
beveelt	is	boos	-12.2379	12.2379	7.96317	4830.25
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	derde	-9.74894	9.74894	9.08363	860.445
Het	derde	getal	-16.2049	16.2049	5.92528	75538.8
derde	getal	dat	-4.05889	4.05889	6.51073	16.6667
getal	dat	de	-4.83289	4.83289	4.18813	28.5
dat	de	oplettende	-16.5164	16.5164	12.132	93741
de	oplettende	toehoorder	-19.7929	19.7929	3.41602	908378
oplettende	toehoorder	signaleert	-18.5421	18.5421	5.29271	381712
toehoorder	signaleert	is	-6.55459	6.55459	5.21686	94
signaleert	is	zes	-13.0333	13.0333	1	8383.4
_	_	Mijn	-8.49924	8.49924	8.87044	361.847
_	Mijn	vriendin	-7.25624	7.25624	9.0455	152.879
Mijn	vriendin	Mona	-17.8393	17.8393	4.90941	234516
vriendin	Mona	is	-7.25739	7.25739	2.06155	153
Mona	is	gek	-14.1212	14.1212	1	17820.2
is	gek	op	-1.43494	1.43494	2.76195	2.7037
gek	op	jongens	-13.6129	13.6129	6.72198	12528.3
op	jongens	die	-4.80735	4.80735	3.36933	28
jongens	die	gemixte	-22.0093	22.0093	5.27533	4.22E+06
die	gemixte	drankjes	-17.3756	17.3756	0	170052
gemixte	drankjes	kopen	-13.4806	13.4806	4.72587	11430.7
drankjes	kopen	voor	-5.05385	5.05385	4.91052	33.2169
kopen	voor	haar	-9.50781	9.50781	5.23866	728.007
_	_	Gisteren	-11.1045	11.1045	8.87044	2201.86
_	Gisteren	had	-5.69523	5.69523	6.08955	51.8125
Gisteren	had	de	-4.48102	4.48102	1.20131	22.3316
had	de	aannemer	-16.9118	16.9118	9.5613	123302
de	aannemer	die	-5.32793	5.32793	6.21591	40.1667
aannemer	die	de	-2.32193	2.32193	3.00624	5
die	de	bejaarde	-17.2829	17.2829	11.2996	159471
de	bejaarde	bewoner	-16.1095	16.1095	5.52058	70701.3
bejaarde	bewoner	matste	-26.0967	26.0967	4.93401	7.18E+07
bewoner	matste	een	-3.60973	3.60973	5.94321	12.2078
matste	een	goed	-7.77278	7.77278	12.6731	218.696
een	goed	humeur	-7.98995	7.98995	7.87251	254.222
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	vrouwtje	-12.8307	12.8307	9.08363	7285.1
Het	vrouwtje	dat	-6.51534	6.51534	4.43031	91.4769
vrouwtje	dat	verlaten	-13.8047	13.8047	3.875	14309.4
dat	verlaten	poezen	-19.8873	19.8873	1.58496	969755
verlaten	poezen	opvangt	-20.0093	20.0093	4.56668	1.06E+06
poezen	opvangt	heeft	-8.20096	8.20096	3.19838	294.262
opvangt	heeft	ruzie	-13.4363	13.4363	8.33438	11084.9
heeft	ruzie	met	0	0	0	1
ruzie	met	de	-3.13124	3.13124	4.3608	8.7619
met	de	buren	-10.5544	10.5544	12.2058	1503.79
_	_	Onlangs	-12.4666	12.4666	8.87044	5659.96
_	Onlangs	gaf	-7.01123	7.01123	5.89589	129
Onlangs	gaf	de	-1	1	1.79248	2
gaf	de	jongeman	-16.9094	16.9094	7.73099	123091
de	jongeman	die	-5.21917	5.21917	3.87068	37.25
jongeman	die	de	-4.48102	4.48102	4.54474	22.3316
die	de	populaire	-15.5193	15.5193	11.2996	46964.6
de	populaire	portier	-18.1194	18.1194	6.11959	284769
populaire	portier	inhuurde	-23.0967	23.0967	5.07375	8.97E+06
portier	inhuurde	een	-5.57909	5.57909	2.15564	47.805
inhuurde	een	groot	-7.18796	7.18796	12.6731	145.811
een	groot	feest	-5.98093	5.98093	6.4104	63.1595
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	elfje	-22.3963	22.3963	9.08363	5.52E+06
Het	elfje	dat	-6.51534	6.51534	3.18083	91.4769
elfje	dat	de	-3.06498	3.06498	7.86025	8.36856
dat	de	sterke	-13.1945	13.1945	12.132	9374.1
de	sterke	beren	-18.1024	18.1024	7.17417	281419
sterke	beren	betoverde	-21.7044	21.7044	5.00092	3.42E+06
beren	betoverde	was	-8.47549	8.47549	4.20184	355.94
betoverde	was	erg	-8.40446	8.40446	7.71877	338.84
was	erg	vriendelijk	-6.89482	6.89482	6.77119	119
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	schilder	-13.4375	13.4375	12.4321	11094.1
De	schilder	die	-5.2854	5.2854	4.66323	39
schilder	die	de	-4	4	3.75	16
die	de	knappe	-17.1989	17.1989	11.2996	150444
de	knappe	prinses	-15.6937	15.6937	5.48417	52999.9
knappe	prinses	tekent	-16.6642	16.6642	5.28031	103852
prinses	tekent	zit	-11.4469	11.4469	5.51154	2791.64
